itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_recolte,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,notes
Ail plant. automne,Ail,Alliacées,Allium sativum,,42,46,2,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Ail plant. printemps,Ail,Alliacées,Allium sativum,,10,14,22,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-AIL-01,Ail,Alliacées,Allium sativum,Plein champ,42,46,2,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Ail,Ail,Alliacées,Allium sativum,,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aneth,Aneth,Apiaceae,,,15,19,27,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Aubergine,Aubergine,Solanacées,Solanum melongena,,7,11,27,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-AUB-01,Aubergine,Solanacées,Solanum melongena,Serre,6,10,26,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Aubergine,Aubergine,Solanacées,Solanum melongena,,6,10,26,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Basilic,Basilic,,Ocimum basilicum,,6,10,18,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BAS-01,Basilic,,Ocimum basilicum,Serre,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave plant. automne,Betterave,Chénopodiacées,Beta vulgaris,Serre,33,37,45,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Betterave plant. printemps,Betterave,Chénopodiacées,Beta vulgaris,Extérieur,10,14,22,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BET-01,Betterave,Chénopodiacées,Beta vulgaris,Plein champ,14,18,26,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Betterave,Betterave,Chénopodiacées,Beta vulgaris,,14,18,26,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Blette,Blette,Chénopodiacées,Beta vulgaris var. cicla,Extérieur,23,27,35,4,4,12,2,35,52,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-BLE-01,Blette,Chénopodiacées,Beta vulgaris var. cicla,Plein champ,14,18,26,4,4,12,2,35,52,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Bourrache,Bourrache,Boraginaceae,,,10,14,22,4,4,12,1,44,66,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Brocoli,Brocoli,Brassicacées,,,14,18,26,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Capucine,Capucine,Tropaeolaceae,,,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte pleine terre,Carotte,Apiacées,Daucus carota,Extérieur,14,18,28,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte pleine terre conservation,Carotte,Apiacées,Daucus carota,Extérieur,20,24,34,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte serre,Carotte,Apiacées,Daucus carota,Serre,5,9,19,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Carotte serre conservation,Carotte,Apiacées,Daucus carota,Serre,40,44,2,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CAR-01,Carotte,Apiacées,Daucus carota,Plein champ,12,16,26,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CAR-02,Carotte,Apiacées,Daucus carota,Plein champ,20,24,34,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Carotte-automne,Carotte,Apiacées,Daucus carota,,24,28,38,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Carotte-printemps,Carotte,Apiacées,Daucus carota,,12,16,26,4,4,14,3,10,15,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chicorée frisée,Chicorée frisée,Asteraceae,,,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chicorée sauvage,Chicorée sauvage,Asteraceae,,,22,26,34,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CHO-01,Chou,Brassicacées,Brassica oleracea,Plein champ,14,18,26,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou brocoli,Chou brocoli,Brassicaceae,,Extérieur,10,14,22,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou de Bruxelles,Chou de Bruxelles,Brassicaceae,,Extérieur,12,16,24,4,4,12,1,57,85,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou de Chine,Chou de Chine,Brassicaceae,,Extérieur,23,27,35,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou frisé,Chou frisé,Brassicaceae,,Extérieur,14,18,26,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Chou-kale,Chou kale,Brassicacées,,,16,20,28,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou pommé plant. automne,Chou pommé,Brassicaceae,,,33,37,45,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou pommé plant. printemps,Chou pommé,Brassicaceae,,,7,11,19,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou pommé plant. été,Chou pommé,Brassicaceae,,,20,24,32,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-fleur plant. printemps,Chou-fleur,Brassicaceae,,Extérieur,5,9,17,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-fleur plant. été,Chou-fleur,Brassicaceae,,Extérieur,16,20,28,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-rave plant. hiver,Chou-rave,Brassicaceae,,Serre,49,1,9,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-rave plant. printemps,Chou-rave,Brassicaceae,,Extérieur,10,14,22,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chénopode,Chénopode,Amaranthaceae,,,14,18,26,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Concombre,Concombre,Cucurbitacées,Cucumis sativus,Serre,10,14,22,4,4,12,1,70,105,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CCB-01,Concombre,Cucurbitacées,Cucumis sativus,Serre,14,18,26,4,4,12,1,70,105,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Coriandre,Coriandre,Apiaceae,,,6,10,18,4,4,12,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Cosmos,Cosmos,Asteraceae,,,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Courge,Courge,Cucurbitacées,Cucurbita maxima,Extérieur,10,14,30,4,4,20,1,100,150,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CRG-01,Courge,Cucurbitacées,Cucurbita maxima,Plein champ,16,20,36,4,4,20,1,100,150,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Butternut,Courge butternut,Cucurbitacées,,,16,20,36,4,4,20,1,100,150,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Courgette,Courgette,Cucurbitacées,Cucurbita pepo,Extérieur,20,24,40,4,4,20,1,81,121,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Courgette sous serre,Courgette,Cucurbitacées,Cucurbita pepo,Serre,10,14,30,4,4,20,1,81,121,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-COU-01,Courgette,Cucurbitacées,Cucurbita pepo,Plein champ,14,18,34,4,4,20,1,81,121,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Courgette,Courgette,Cucurbitacées,Cucurbita pepo,,16,20,36,4,4,20,1,81,121,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Céleri,Céleri,Apiacées,Apium graveolens,Extérieur,10,14,22,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-CEL-01,Céleri,Apiacées,Apium graveolens,Plein champ,10,14,22,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Fenouil,Fenouil,Apiaceae,,Extérieur,29,33,41,4,4,12,2,35,52,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Fève,Fève,Fabaceae,Vicia faba,Extérieur,38,42,50,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-FEV-01,Fève,Fabaceae,Vicia faba,Plein champ,8,12,20,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Haricot Ext,Haricot,Fabaceae,,Extérieur,16,20,28,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Haricot Ser,Haricot,Fabaceae,,Serre,10,14,22,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Haricot-sec,Haricot sec,Fabaceae,,,20,24,32,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-HAR-01,Haricot vert,Fabaceae,Phaseolus vulgaris,Plein champ,18,22,30,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-HAR-02,Haricot vert,Fabaceae,Phaseolus vulgaris,Plein champ,22,26,34,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Haricot-vert,Haricot vert,Fabaceae,Phaseolus vulgaris,,18,22,30,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-LAI-01,Laitue,Astéracées,Lactuca sativa,Serre,8,12,16,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-LAI-02,Laitue,Astéracées,Lactuca sativa,Plein champ,14,18,22,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-LAI-03,Laitue,Astéracées,Lactuca sativa,Plein champ,32,36,40,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Laitue-automne,Laitue,Astéracées,Lactuca sativa,,30,34,38,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Laitue-ete,Laitue,Astéracées,Lactuca sativa,,20,24,28,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Laitue-printemps,Laitue,Astéracées,Lactuca sativa,,8,12,16,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue plant. automne ext,Laitue,Astéracées,Lactuca sativa,Extérieur,33,37,41,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue plant. hiver sous serre,Laitue,Astéracées,Lactuca sativa,Serre,40,44,48,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue plant. printemps,Laitue,Astéracées,Lactuca sativa,Extérieur,14,18,22,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue plant. printemps précoce,Laitue,Astéracées,Lactuca sativa,Extérieur,5,9,13,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue plant. été,Laitue,Astéracées,Lactuca sativa,Extérieur,27,31,35,4,4,8,2,28,42,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Maïs,Maïs,Poaceae,,Extérieur,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Melon,Melon,Cucurbitaceae,,Extérieur,14,18,26,4,4,12,1,100,150,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Moutarde,Moutarde,Brassicaceae,,,34,38,46,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Mâche d'automne,Mâche,Valerianaceae,,Extérieur,36,40,48,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Mâche d'hiver,Mâche,Valerianaceae,,Extérieur,49,1,9,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Mâche d'été,Mâche,Valerianaceae,,Extérieur,23,27,35,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Mâche de printemps,Mâche,Valerianaceae,,Extérieur,10,14,22,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
EV LD automne commerce,Mélange,,,Extérieur,36,40,48,4,4,12,2,30,45,3.33,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
EV LD printemps Sorgho Trèfle Mélilot Sarrasin,Mélange,,,Extérieur,16,20,28,4,4,12,2,30,45,2.9,Sorgo 1 g/m²  \n  \n Trèfle 0.375 g/m²  \n  \n Mélilot 0.5 g/m²  \n  \n Sarrasin 1.25 g/m²
EV Ser automne Seigle Vesce Moutarde Phacélie,Mélange,,,Serre,38,42,50,4,4,12,2,30,45,13,"Seigle 8 g/m²  \n  \n Vesce 4 g/m²  \n  \n Moutarde 0,5 g/m²  \n  \n Phacélie 0,5 g/m²"
EV Ser printemps Sorgho Trèfle Mélilot Sarrasin,Mélange,,,Serre,12,16,24,4,4,12,2,30,45,2.9,Sorgo 1 g/m²  \n  \n Trèfle 0.375 g/m²  \n  \n Mélilot 0.5 g/m²  \n  \n Sarrasin 1.25 g/m²
EV automne Seigle Vesce Moutarde Phacélie,Mélange,,,Extérieur,33,37,45,4,4,12,2,30,45,13,"Seigle 8 g/m²  \n  \n Vesce 4 g/m²  \n  \n Moutarde 0,5 g/m²  \n  \n Phacélie 0,5 g/m²"
EV printemps Sorgho Trèfle Mélilot Sarrasin,Mélange,,,Extérieur,16,20,28,4,4,12,2,30,45,2.9,Sorgo 1 g/m²  \n  \n Trèfle 0.375 g/m²  \n  \n Mélilot 0.5 g/m²  \n  \n Sarrasin 1.25 g/m²
ITP-NAV-01,Navet,Brassicacées,Brassica rapa,Plein champ,14,18,28,4,4,14,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-NAV-02,Navet,Brassicacées,Brassica rapa,Plein champ,32,36,46,4,4,14,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Navet précoce semis printemps,Navet,Brassicacées,Brassica rapa,Extérieur,12,16,26,4,4,14,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Navet semis automne,Navet,Brassicacées,Brassica rapa,Extérieur,29,33,43,4,4,14,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Navet semis printemps,Navet,Brassicacées,Brassica rapa,Extérieur,18,22,32,4,4,14,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-OIG-01,Oignon,Alliacées,Allium cepa,Plein champ,8,12,20,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Oignon,Oignon,Alliacées,Allium cepa,,8,12,20,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Oignon Bulbilles printemps,Oignon,Alliacées,Allium cepa,Extérieur,10,14,22,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Oignon automne sous serre,Oignon,Alliacées,Allium cepa,Serre,36,40,48,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Oignon hiver sous serre,Oignon,Alliacées,Allium cepa,Serre,49,1,9,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Oignon plant. printemps,Oignon,Alliacées,Allium cepa,Extérieur,7,11,19,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Origan,Origan,Lamiaceae,,,10,14,22,4,4,12,2,40,60,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Panais,Panais,Apiaceae,,Extérieur,14,18,26,4,4,12,2,25,37,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Patate douce par bouturage,Patate douce,Convolvulaceae,,Extérieur,45,49,5,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-PER-01,Persil,Apiacées,Petroselinum crispum,Plein champ,12,16,24,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Persil,Persil,Apiacées,Petroselinum crispum,Extérieur,10,14,22,4,4,12,3,18,27,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Petit-pois,Petit pois,Fabaceae,,,10,14,22,4,4,12,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Phacelie,Phacélie,Hydrophyllaceae,,,32,36,44,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Physalis,Physalis,Solanaceae,,Extérieur,10,14,22,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-PRX-01,Poireau,Alliacées,Allium porrum,Plein champ,8,12,20,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Poireau,Poireau,Alliacées,Allium porrum,,8,12,20,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Poireau plant. d'automne,Poireau,Alliacées,Allium porrum,Extérieur,31,35,43,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Poireau plant. printemps,Poireau,Alliacées,Allium porrum,Extérieur,12,16,24,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Poireau précoce,Poireau,Alliacées,Allium porrum,Extérieur,7,11,19,4,4,12,2,20,30,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-POI-P-01,Pois,Fabaceae,Pisum sativum,Plein champ,8,12,20,4,4,12,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Pois semis automne,Pois,Fabaceae,Pisum sativum,,42,46,2,4,4,12,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Pois semis printemps,Pois,Fabaceae,Pisum sativum,,7,11,19,4,4,12,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-POI-01,Poivron,Solanacées,Capsicum annuum,Serre,6,10,18,4,4,12,1,57,85,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Poivron,Poivron,Solanacées,Capsicum annuum,,6,10,18,4,4,12,1,57,85,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Poivron piment ext,Poivron piment,Solanaceae,,Extérieur,10,14,22,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Poivron piment serre,Poivron piment,Solanaceae,,Serre,7,11,19,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-PDT-01,Pomme de terre,Solanacées,Solanum tuberosum,Plein champ,12,16,24,4,4,12,1,44,66,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-PDT-02,Pomme de terre,Solanacées,Solanum tuberosum,Plein champ,16,20,28,4,4,12,1,44,66,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Pomme de terre hative,Pomme de terre,Solanacées,Solanum tuberosum,Extérieur,12,16,24,4,4,12,1,44,66,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Pomme de terre tardive,Pomme de terre,Solanacées,Solanum tuberosum,Extérieur,12,16,24,4,4,12,1,44,66,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Potimarron,Potimarron,Cucurbitacées,,,16,20,28,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Potiron,Potiron,Cucurbitaceae,,Extérieur,16,20,28,4,4,12,1,141,211,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-RAD-01,Radis,Brassicacées,Raphanus sativus,Serre,10,14,18,4,4,8,3,11,16,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-RAD-02,Radis,Brassicacées,Raphanus sativus,Plein champ,32,36,40,4,4,8,3,11,16,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Radis,Radis,Brassicacées,Raphanus sativus,,12,16,20,4,4,8,3,11,16,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Radis d'été,Radis,Brassicacées,Raphanus sativus,Extérieur,18,22,26,4,4,8,3,11,16,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Radis d'hiver,Radis noir,Brassicaceae,,Extérieur,31,35,39,4,4,8,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Ricin,Ricin,Euphorbiaceae,,,10,14,22,4,4,12,1,100,150,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Roquette,Roquette,Brassicaceae,,Extérieur,10,14,22,4,4,12,3,14,21,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Salsifis,Salsifis,Asteraceae,,,12,16,24,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Sarriette,Sarriette,Lamiaceae,,Serre,12,16,24,4,4,12,2,31,46,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Souci semis automne,Souci,Asteraceae,,,36,40,48,4,4,12,2,31,46,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Souci semis printemps,Souci,Asteraceae,,,9,13,21,4,4,12,2,31,46,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Tagètes,Tagètes,Asteraceae,,,14,18,26,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-TOM-01,Tomate,Solanacées,Solanum lycopersicum,Serre,8,12,28,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-TOM-02,Tomate,Solanacées,Solanum lycopersicum,Plein champ,12,16,32,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Tomate-printemps,Tomate,Solanacées,Solanum lycopersicum,,8,12,28,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Tomate-tardive,Tomate,Solanacées,Solanum lycopersicum,,12,16,32,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Tomate hative ext,Tomate,Solanacées,Solanum lycopersicum,Extérieur,10,14,30,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Tomate hative serre,Tomate,Solanacées,Solanum lycopersicum,Serre,7,11,27,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Tomate tardive,Tomate,Solanacées,Solanum lycopersicum,,14,18,34,4,4,20,1,63,94,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Topinambour,Topinambour,Asteraceae,,Extérieur,12,16,24,4,4,12,1,50,75,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Tournesol,Tournesol,Asteraceae,,,19,23,31,4,4,12,2,40,60,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Echalote,Échalote,Alliacées,,,12,16,24,4,4,12,2,22,33,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Epinard d'automne,Épinard,Chénopodiacées,Spinacia oleracea,Extérieur,33,37,41,4,4,8,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Epinard d'été,Épinard,Chénopodiacées,Spinacia oleracea,Extérieur,14,18,22,4,4,8,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Epinard de printemps,Épinard,Chénopodiacées,Spinacia oleracea,Extérieur,7,11,15,4,4,8,3,15,22,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-EPI-01,Épinard,Chénopodiacées,Spinacia oleracea,Plein champ,10,14,22,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-EPI-02,Épinard,Chénopodiacées,Spinacia oleracea,Plein champ,34,38,46,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
ITP-Epinard,Épinard,Chénopodiacées,Spinacia oleracea,,12,16,24,4,4,12,2,30,45,,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
